id,id_region,id_tipo_delegacion,id_delegacion_o_ct,id_nomenclatura,temp_id,num_delegaciona,nivel_delegaciona,sede_delegaciona,fecha_inicio_delegaciona,fecha_final_delegaciona,direccion_delegaciona,cp_delegaciona,ciudad_delegaciona,estado_delegaciona,created_at,updated_at
1,1,1,1,2,2,2062,EJEMPLO NIVEL 2,EJEMPLO SEDE 2,08/02/2023,08/02/2025,"EJEMPLO DE PRIVADA DE LOS ALTOS AV. INSURGENTES S/N, COL. PRINCIPAL",98568,EJEMPLO CIUDAD 2,EJEMPLO ESTADO,NULL,NULL
2,1,1,1,2,2,59,SECUNDARIA GENERAL,PANUCO,08/02/2023,08/02/2025,VENUSTIANO CARRANZA,93990,PÁNUCO,VERACRUZ,NULL,NULL
3,2,1,1,3,3,13,EDUCACION FISICA,TUXPAN,10/02/2023,10/02/2026,CUAUHTEMOC 56 COLONIA DEL VALLE,92860,TUXPAN,VERACRUZ,NULL,NULL
4,2,1,1,2,4,20,TELEBACHILLERATO,TUXPAN,14/02/2023,14/02/2026,AV. CUAUHTEMOC NUM. 57 COLONIA DEL VALLE,92,TUXPAN,VERACRUZ,NULL,NULL
5,4,1,1,1,5,77,PRIMARIAS,JUCHIQUE DE FERRER,10/02/2023,10/02/2026,MIGUEL HIDALGO,91440,JUCHIQUE DE FERRER,VERACRUZ,NULL,NULL
6,2,1,1,1,6,94,PRIMARIAS,TAMIAHUA,13/02/2023,13/02/2026,AV. MIGUEL HIDALGO NO. 45 ZONA SUR,92560,TAMIAHUA,VERACRUZ,NULL,NULL
7,6,1,1,1,7,8,PRIMARIAS,CARDEL,07/02/2023,07/02/2026,ENRIQUE C. RÉBSAMEN #55 COL. MAGISTERIAL,91653,JOSÉ CARDEL,VERACRUZ,NULL,NULL
8,2,1,1,1,8,9,PRIMARIAS,CERRO AZUL,10/02/2023,10/02/2026,CARRETERA CERRO AZUL LOC. LA MORA,92540,CERRO AZUL,VERACRUZ,NULL,NULL
9,2,1,1,2,9,22,TELEBACHILLERATO,NARANJOS,14/02/2023,14/02/2026,CALLE CHONTLA  S/N. FRACCIONAMIENTO NUEVO NARANJOS,92310,NARANJOS AMATLÁN,VERACRUZ,NULL,NULL
10,7,1,1,2,10,31,TELEBACHILLERATO,COSCOMATEPEC,15/02/2023,15/02/2026,PRIVADA 2 NORTE SN,94470,FORTÍN,VERACRUZ,NULL,NULL
11,1,1,1,2,11,35,TELEBACHILLERATO,TANTOYUCA,17/02/2023,17/02/2026,"AV. REVOLUCIÓN S/N, COL. 10 DE MAYO",92122,TANTOYUCA,VERACRUZ,NULL,NULL
12,2,1,1,2,12,53,ESCUELA SECUENDARIA Y BACHILLERATO ABIERTO,TUXPAN,14/02/2023,14/02/2026,"CUAUHTEMOC  #56, COL DEL VALLE",92800,TUXPAN,VERACRUZ,NULL,NULL
13,2,1,1,1,13,57,PRIMARIAS,TUXPAN,10/02/2023,10/02/2026,AV. CUAUHTEMOC NO. 56 COL. DEL VALLE,92870,TUXPAN,VERACRUZ,NULL,NULL
14,2,1,1,1,14,35,PRIMARIAS,NARANJOS,10/02/2023,10/02/2026,"CHONTLA S/N FRACCIONAMIENTO NUEVO NARANJOS, NARANJOS.",92310,NARANJOS AMATLÁN,VERACRUZ,NULL,NULL
15,2,1,1,1,15,19,PRIMARIAS,CHONTLA,15/02/2023,15/02/2026,CALLE LIBERTAD S/N,92200,CHONTLA,VERACRUZ,NULL,NULL
16,2,1,1,1,16,38,PRIMARIAS,OZULUAMA,13/02/2023,13/02/2026,"PASEO DEL VICHÍN S/N, ZONA CENTRO",92080,OZULUAMA,VERACRUZ,NULL,NULL
17,1,1,1,1,17,71,PRIMARIAS,BENITO JUAREZ,15/02/2023,15/02/2026,"CALLE HIDALGO S/N, COL. CENTRO",92661,BENITO JUAREZ,VERACRUZ,NULL,NULL
18,2,1,1,1,18,80,PREESCOLAR,TUXPAN,13/02/2023,13/02/2026,"AV. CUAUHTEMOC 57, COLONIA DEL VALLE",92875,TUXPAN,VERACRUZ,NULL,NULL
19,1,1,1,2,19,50,TELEBACHILLERATO,TEMPOAL,17/02/2023,17/02/2025,REPSAMEN # 4 COLONIA LA COBACHA,92065,TEMPOAL,VERACRUZ,NULL,NULL
